,pl_name,pl_radj,pl_bmassj,pl_orbper,pl_eqt,pl_pnum,st_mass
15,2MASS J21402931+1625183 A b,0.92,20.95,7336.5,2075.0,1,0.08
28,55 Cnc e,0.17,0.025419999999999998,0.736539,1952.845387434667,5,0.91
48,BD+20 594 b,0.23,0.07,41.6855,546.7796860822541,1,1.67
63,CoRoT-1 b,1.49,1.03,1.5089557,1898.0,1,0.95
64,CoRoT-10 b,0.97,2.75,13.2406,600.0,1,0.89
65,CoRoT-11 b,1.43,2.33,2.99433,1657.0,1,1.27
66,CoRoT-12 b,1.44,0.917,2.828042,1442.0,1,1.08
67,CoRoT-13 b,0.885,1.308,4.03519,1700.0,1,1.09
68,CoRoT-14 b,1.09,7.6,1.51214,1952.0,1,1.13
69,CoRoT-16 b,1.17,0.535,5.35227,1195.136239517178,1,1.1
70,CoRoT-17 b,1.02,2.43,3.7681,1626.0,1,1.04
71,CoRoT-18 b,1.31,3.47,1.9000693,1550.0,1,0.95
72,CoRoT-19 b,1.29,1.11,3.89713,2000.0,1,1.21
73,CoRoT-2 b,1.466,3.47,1.7429935,1547.0571856525933,1,0.96
76,CoRoT-22 b,0.435,0.038,9.75598,885.0,1,1.1
77,CoRoT-23 b,1.05,2.8,3.6313,1660.0,1,1.14
79,CoRoT-24 c,0.44,0.088,11.759,850.0,2,0.91
80,CoRoT-25 b,1.08,0.27,4.86069,1330.0,1,1.09
81,CoRoT-26 b,1.26,0.52,4.20474,1600.0,1,1.09
82,CoRoT-27 b,1.0070000000000001,10.39,3.57532,1500.0,1,1.05
83,CoRoT-28 b,0.955,0.484,5.20851,1363.7437487913444,1,1.01
84,CoRoT-29 b,0.9,0.85,2.85057,1219.0122749844193,1,0.97
85,CoRoT-3 b,1.01,21.66,4.2568,1698.5615609057697,1,1.37
86,CoRoT-4 b,1.19,0.72,9.20205,1074.0,1,1.16
87,CoRoT-5 b,1.3880000000000001,0.467,4.0378962,1438.0,1,1.0
88,CoRoT-6 b,1.166,2.96,8.886593,1017.0,1,1.05
89,CoRoT-7 b,0.15,0.01,0.85359,1804.6086481764917,2,0.82
91,CoRoT-8 b,0.57,0.22,6.21229,853.660123312763,1,0.88
92,CoRoT-9 b,1.0659999999999998,0.84,95.272656,420.0,1,0.96
93,CoRoTID 223977153 b,0.57,0.15,6.71837,938.0,1,1.08
